site,sex,sex_index,species,height
Lava,,0,booth,90
Lava,,0,booth,77
Lava,,0,booth,79
Lava,,0,booth,58
Lava,,0,booth,71
Lava,,0,booth,58
Lava,,0,booth,112
Lava,,0,geyer,93
Lava,,0,geyer,96
Lava,,0,geyer,91
Lava,,0,geyer,95
Lava,,0,geyer,124
Lava,,0,geyer,74
Lava,,0,geyer,121
Lava,,0,geyer,72
Lava,,0,,81
Lava,,0,,67
Lava,,0,,49
Lava,,0,,54
Lava,,0,,124
Lava,,0,,102
LB1,f,1,bebb,97
LB1,f,1,bebb,201
LB1,f,1,bebb,152
LB1,f,1,bebb,156
LB1,f,1,bebb,102
LB1,f,1,bebb,85
LB1,f,1,bebb,172
LB1,f,1,booth,146
LB1,f,1,booth,224
LB1,f,1,booth,120
LB1,f,1,booth,173
